env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
85000,,,50,50,3,75.6259,-208.9882,5.0313,0.8536,-6.8529,4.6692,83.7551,5.1647,,,
85000,4450.6333,1000.0,,,,,,,,,,,,,,
85000,,,,,,,,,,,,,,1000,3554.882,28.0604
85500,,,50,50,3,80.2126,-223.8084,4.9207,0.8918,-8.6135,19.8039,227.5873,3.4281,,,
86000,,,50,50,3,76.5205,-221.6665,6.0711,0.7827,-7.3476,5.4388,160.2953,3.4557,,,
86000,,,,,,,,,,,,,,1000,3684.7254,31.0472
86500,,,50,50,3,81.7859,-226.9722,6.901,0.8755,-7.8697,6.2253,221.2926,4.2828,,,
87000,,,50,50,3,84.5072,-223.6789,6.4081,0.8342,-8.5474,6.4839,361.0355,3.5979,,,
87000,,,,,,,,,,,,,,1000,3625.2712,31.048
87500,,,50,50,3,75.8302,-230.1717,6.543,0.8269,-7.6548,9.4315,317.5829,4.945,,,
88000,,,50,50,3,82.8475,-233.9334,7.1683,0.8333,-8.8739,4.8374,76.6701,3.7996,,,
88000,,,,,,,,,,,,,,1000,1482.4042,31.2615
88500,,,50,50,3,81.3385,-226.7829,5.931,0.8631,-8.3712,7.2316,398.0202,2.4302,,,
89000,,,50,50,3,80.4191,-227.5623,5.1689,0.8006,-7.8925,4.8826,228.3416,3.7624,,,
89000,,,,,,,,,,,,,,1000,3690.4094,31.0478
89500,,,50,50,3,81.0338,-239.8068,4.4651,0.7929,-7.8033,8.0856,125.7212,3.1148,,,
90000,,,50,50,3,87.0845,-227.3178,5.8929,0.812,-8.7779,5.558,261.1919,2.6442,,,
90000,2419.4304,1000.0,,,,,,,,,,,,,,
90000,,,,,,,,,,,,,,1000,3936.8633,27.8888
90500,,,50,50,3,84.0943,-240.5347,6.121,0.7777,-8.1131,4.112,106.5845,2.1567,,,
91000,,,50,50,3,85.673,-238.7443,5.2767,0.8385,-8.6072,5.1155,238.4065,2.6042,,,
91000,,,,,,,,,,,,,,1000,3781.9359,31.263
91500,,,50,50,3,84.6386,-247.3245,5.1565,0.8233,-8.6291,4.947,181.107,3.9369,,,
