env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
106000,,,,,,,,,,1000,5124.5051,12.1335
106500,,,-343.7599,3.847,0.0032,-0.0463,4.1523,321.4386,6.0733,,,
107000,,,-337.0848,4.253,0.0025,-0.041,4.0621,327.2966,8.3784,,,
107000,,,,,,,,,,1000,5203.3499,12.5232
107500,,,-343.2231,6.7519,0.0036,-0.0499,4.0709,166.6017,9.5231,,,
108000,,,-343.8022,3.6608,0.003,-0.044,4.0586,138.4072,7.5684,,,
108000,,,,,,,,,,1000,5133.4501,12.6128
108500,,,-353.3308,4.7691,0.0032,-0.0459,4.1509,134.35,7.4503,,,
109000,,,-355.1497,4.6808,0.0026,-0.0404,3.7404,124.8105,6.5686,,,
109000,,,,,,,,,,1000,5232.265,12.239
109500,,,-351.2571,4.3153,0.0028,-0.0431,4.2206,214.419,8.1119,,,
110000,,,-356.1964,3.9975,0.0028,-0.0419,3.7731,178.8677,4.6233,,,
110000,5634.7025,1000.0,,,,,,,,,,
110000,,,,,,,,,,1000,5315.6202,11.6539
110500,,,-356.9249,7.3073,0.0035,-0.0493,3.9928,129.2457,11.1945,,,
111000,,,-365.7841,4.5702,0.0025,-0.0415,3.8896,156.083,9.246,,,
111000,,,,,,,,,,1000,5269.2092,11.9769
111500,,,-361.6429,6.2699,0.0028,-0.043,4.459,267.058,7.8209,,,
112000,,,-360.2992,5.4142,0.003,-0.0429,4.5019,361.5979,3.9446,,,
112000,,,,,,,,,,1000,5352.9687,12.3665
112500,,,-366.8065,4.8645,0.0022,-0.0381,4.6328,306.6006,4.1744,,,
113000,,,-369.8682,3.8983,0.0027,-0.0426,3.7993,102.2688,3.2869,,,
113000,,,,,,,,,,1000,5131.5833,12.1437
