env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
72000,,,,,,4855.519,4865.0151,30679.7227,4855.519,1.0191,54.0215,0.6561
72390,,,1600,-129.1516,85.2717,,,,,,,
72500,,,,,,5206.4883,5213.9023,45384.5234,5206.4883,1.0649,70.0372,0.5539
73000,,,,,,5365.5879,5373.0776,36952.5898,5365.5879,0.9981,76.2063,0.774
73500,,,,,,5018.563,5026.707,45282.9414,5018.563,0.9704,78.4155,0.8707
73990,,,1600,-97.5764,85.8834,,,,,,,
74000,,,,,,5086.6865,5095.0688,31358.8047,5086.6865,1.0474,122.5637,0.4223
74500,,,,,,4915.2666,4924.6836,33365.7188,4915.2666,1.0283,68.6585,0.6311
74537,,,547,-145.9863,83.2847,,,,,,,
75000,,,,,,5646.2231,5653.7656,55486.6094,5646.2231,0.9005,62.3542,0.4962
75000,-136.4848,317.2,,,,,,,,,,
75138,,,601,-150.6048,70.4063,,,,,,,
75243,,,105,-123.0147,83.1601,,,,,,,
75439,,,196,-135.2891,82.9548,,,,,,,
75500,,,,,,5713.1245,5720.9839,50472.9922,5713.1245,0.8679,63.7566,0.4666
75691,,,252,-135.3589,83.9416,,,,,,,
76000,,,,,,5366.2217,5374.1475,47087.0195,5366.2217,0.9442,89.063,0.5493
76500,,,,,,4904.7173,4914.8721,38399.8203,4904.7173,1.0978,79.4098,0.4573
77000,,,,,,5180.0664,5187.104,33636.3906,5180.0664,1.5522,105.8607,0.7689
77291,,,1600,-144.9249,84.2063,,,,,,,
77500,,,,,,5155.5483,5164.4194,44390.3281,5155.5483,1.4343,114.2643,0.752
78000,,,,,,4745.333,4753.4966,33750.9492,4745.333,1.052,102.2082,0.7512
78500,,,,,,5343.0034,5351.9092,36501.8828,5343.0034,1.5763,103.8499,0.5871
78891,,,1600,-162.4103,84.3563,,,,,,,
79000,,,,,,5089.9893,5097.4873,29044.9453,5089.9893,1.003,100.063,0.4695
79102,,,211,-121.0889,82.0928,,,,,,,
79163,,,61,-115.3985,83.8645,,,,,,,
79500,,,,,,5245.8887,5253.2798,71057.0391,5245.8887,1.3653,93.8441,0.5317
80000,,,,,,5073.5371,5082.167,42925.4219,5073.5371,1.0706,90.2745,0.6224
80000,-134.8708,272.9,,,,,,,,,,
80089,,,926,-197.8513,76.5917,,,,,,,
80363,,,274,-113.2553,81.6176,,,,,,,
80500,,,,,,5441.9214,5448.9829,66268.7344,5441.9214,1.1616,72.1021,0.6001
81000,,,,,,5066.8223,5074.3965,51201.5117,5066.8223,1.2267,59.7961,0.5217
81500,,,,,,4974.4922,4982.7031,32424.3926,4974.4922,1.249,72.6232,0.5129
81963,,,1600,-121.936,84.0505,,,,,,,
82000,,,,,,5024.5581,5032.3911,39044.7734,5024.5581,1.2895,159.1722,0.8747
82500,,,,,,5283.6353,5291.9697,37714.75,5283.6353,1.4131,116.3986,0.6438
83000,,,,,,5571.7451,5580.0986,82788.7969,5571.7451,1.4485,82.6271,0.6887
83500,,,,,,5295.8086,5303.9258,56121.4336,5295.8086,1.4943,108.2473,0.5261
83563,,,1600,-76.0562,83.7794,,,,,,,
84000,,,,,,5117.9399,5124.9805,31965.8477,5117.9399,0.8533,62.3444,0.7312
84500,,,,,,5250.2612,5257.6753,62948.25,5250.2612,1.2578,110.825,0.4995
84740,,,1177,-141.5143,83.3098,,,,,,,
85000,,,,,,5151.0098,5158.8032,33442.7383,5151.0098,1.1174,105.2878,0.7137
85000,-116.2722,533.7,,,,,,,,,,
85382,,,642,-114.4847,62.3092,,,,,,,
85500,,,,,,5241.9424,5250.6367,48067.4258,5241.9424,0.8989,87.9522,0.7548
86000,,,,,,5143.7266,5152.0874,36079.9062,5143.7266,1.0235,56.7909,1.0159
86500,,,,,,5166.4707,5175.2432,38930.8359,5166.4707,1.081,67.4505,0.6824
