env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
37266,,,63,-56.1019,72.1232,,,,,,,,,,,,
37500,,,,,,50,50,29,51.3182,96.8328,51.913,-44.1823,70.0867,204.7005,52.0311,1894.4884,7.9869
37532,,,266,-263.2869,70.3139,,,,,,,,,,,,
38000,,,,,,50,50,29,55.5157,101.4753,54.5469,-44.1823,80.9776,240.896,37.7059,1109.9945,8.2837
38500,,,,,,50,50,29,56.6482,97.0576,51.025,-44.1823,80.073,258.0656,35.581,1042.2882,7.6952
38532,,,1000,-1125.3399,70.0329,,,,,,,,,,,,
38625,,,93,-41.9142,69.4406,,,,,,,,,,,,
38707,,,82,-92.3655,69.2765,,,,,,,,,,,,
38834,,,127,-92.8139,69.5384,,,,,,,,,,,,
38868,,,34,-27.4111,69.6356,,,,,,,,,,,,
39000,,,,,,50,50,29,53.1161,98.836,55.5822,-44.1823,66.5421,181.7401,38.8504,1050.0013,9.6328
39500,,,,,,50,50,29,54.1624,97.8506,53.1697,-44.1823,69.5297,210.5649,34.8659,1162.8308,7.2334
39868,,,1000,-1142.0633,69.7275,,,,,,,,,,,,
40000,,,,,,50,50,29,56.8026,97.5764,53.4807,-44.1823,75.0069,211.0644,29.5573,1072.8208,8.8199
40000,-223.568,788.8,,,,,,,,,,,,,,,
40028,,,160,-183.5776,24.3995,,,,,,,,,,,,
40099,,,71,-77.7548,72.4718,,,,,,,,,,,,
40500,,,,,,50,50,29,52.188,97.2813,54.124,-44.1823,76.6056,210.6228,38.2139,1520.652,8.8356
41000,,,,,,50,50,29,51.5545,98.047,52.7078,-44.1823,77.1538,238.6545,38.349,1288.7668,8.5227
41099,,,1000,-1140.795,70.4556,,,,,,,,,,,,
41479,,,380,-269.3828,69.7813,,,,,,,,,,,,
41500,,,,,,50,50,29,50.6779,99.271,57.013,-44.1823,82.8332,192.847,34.0063,1415.9647,8.2146
41714,,,235,-109.9363,70.6624,,,,,,,,,,,,
42000,,,,,,50,50,29,50.2026,98.1313,52.6135,-44.1823,69.6049,256.4889,39.6981,1409.703,8.5519
42203,,,489,-392.126,69.8212,,,,,,,,,,,,
42352,,,149,-53.4851,68.4162,,,,,,,,,,,,
42451,,,99,-57.6379,69.5457,,,,,,,,,,,,
42500,,,,,,50,50,29,53.6682,99.5757,56.7204,-44.1823,70.6179,197.7832,51.4015,1345.0774,8.8794
42523,,,72,-44.1903,69.7425,,,,,,,,,,,,
42587,,,64,-67.9582,69.7533,,,,,,,,,,,,
42705,,,118,-129.6721,69.847,,,,,,,,,,,,
42895,,,190,-100.1618,70.1203,,,,,,,,,,,,
42935,,,40,-38.0774,72.3373,,,,,,,,,,,,
43000,,,,,,50,50,29,48.8392,97.8509,51.4931,-44.1823,70.69,239.591,54.0864,1403.8737,9.534
43050,,,115,-84.6929,70.7504,,,,,,,,,,,,
43068,,,18,-28.6724,69.1875,,,,,,,,,,,,
43500,,,,,,50,50,29,49.1878,98.3926,56.3619,-44.1823,66.888,247.474,55.5992,1836.6567,8.7879
43703,,,635,-502.1929,70.9991,,,,,,,,,,,,
43747,,,44,-36.0096,73.2888,,,,,,,,,,,,
43834,,,87,-78.5538,73.2454,,,,,,,,,,,,
44000,,,,,,50,50,29,50.7846,98.2387,52.8741,-44.1823,76.7111,218.4157,54.2093,1508.2937,9.2441
44024,,,190,-118.0444,73.165,,,,,,,,,,,,
44238,,,214,-264.189,71.7673,,,,,,,,,,,,
